year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
1,16,0.9656,0.01,0.02078222,0.01,-0.025784563,0,irresponsible,-0.01078222,0.004851165,0.008829115,0.009656
2,16,0.970451165,0.015652966,0.02904636,0.011130593,-0.021662327,0,irresponsible,-0.013393394,0.013680281,0.010991276,0.010747701
3,16,0.992960562,0.027116612,0.019942517,0.014327797,-0.027851669,0,irresponsible,0.007174095,0.026833717,0.006398208,0.013904427
4,16,1.0241186,0.031489743,0.019799202,0.017760186,-0.033143392,0,irresponsible,0.011690541,0.026476696,0.00316583,0.017635165
5,16,1.045913954,0.040488285,0.020795656,0.022305806,-0.020280289,0,irresponsible,0.019692628,0.033165377,0.004633382,0.022843791
6,16,1.090449353,0.04601883,0.016092767,0.027048411,-0.033258219,0,irresponsible,0.029926063,0.03574346,0.0022594,0.02829031
7,16,1.117400875,0.047847706,0.028562241,0.03120827,-0.024146286,0,irresponsible,0.019285464,0.037684177,0.005390581,0.034031037
8,16,1.165817706,0.045289884,0.030420608,0.034024593,-0.044508625,0,irresponsible,0.014869276,0.046524623,0.002583065,0.038019109
9,16,1.210450121,0.042011158,0.029073034,0.035621906,-0.03721332,0,irresponsible,0.012938123,0.042850308,-0.002728211,0.041528648
10,16,1.251518322,0.038399169,0.025533738,0.036177358,-0.028505405,0,irresponsible,0.012865431,0.041068201,-0.001782107,0.043790888
1,17,0.9656,0.01,0.018725652,0.01,-0.030982206,0,irresponsible,-0.008725652,0.025640456,0.000555875,0.009656
2,17,0.991240456,0.012260212,0.021420627,0.010452042,-0.036009608,0,irresponsible,-0.009160415,0.026196331,0.004880757,0.010092492
3,17,1.017992663,0.015916203,0.011640596,0.011544874,-0.026845998,0,irresponsible,0.004275607,0.03540197,0.006562012,0.011443747
4,17,1.062044396,0.020177791,0.00546111,0.013271458,-0.036144042,0,irresponsible,0.01471668,0.039320356,-0.002808111,0.013510247
5,17,1.096633374,0.021515719,0.018159792,0.01492031,-0.037968088,0,irresponsible,0.003355927,0.029785747,-0.003894721,0.015846032
6,17,1.12161589,0.023049153,0.022466752,0.016546079,-0.031332657,0,irresponsible,0.000582401,0.031530914,-0.000509667,0.018144982
7,17,1.159695202,0.022060336,0.025179572,0.01764893,-0.046318345,0,irresponsible,-0.003119236,0.028766412,-0.001443869,0.019795321
8,17,1.179148714,0.020932727,0.021331869,0.01830569,-0.022889658,0,irresponsible,-0.000399142,0.028643176,0.014156239,0.02122902
9,17,1.216981554,0.029290008,0.017878691,0.020502553,-0.034793261,0,irresponsible,0.011411317,0.05707889,0.023840882,0.024175559
10,17,1.293306495,0.033092682,0.010961117,0.023020579,-0.061807921,0,irresponsible,0.022131564,0.07632494,0.01924605,0.02801562
1,18,0.9656,0.01,0.01959773,0.01,-0.033040998,0,irresponsible,-0.00959773,0.00223654,0.014255816,0.009656
2,18,0.96783654,0.010855138,0.017416992,0.010171028,-0.009113468,0,irresponsible,-0.006561854,0.016492355,0.015381124,0.009821144
3,18,0.998584711,0.01485932,0.024486361,0.011108686,-0.043386116,0,irresponsible,-0.009627041,0.032998788,0.008254096,0.010751392
4,18,1.033834115,0.023784807,0.013702279,0.01364391,-0.035306902,0,irresponsible,0.010082528,0.033000547,0.002916138,0.0136246
5,18,1.064585805,0.021299921,0.013688672,0.015175112,-0.029235709,0,irresponsible,0.00761125,0.038831064,0.001943408,0.015688549
6,18,1.111496242,0.029582244,0.011968982,0.018056539,-0.04050636,0,irresponsible,0.017613262,0.036887363,0.000781186,0.019222735
7,18,1.138360532,0.039916878,0.014773476,0.022428606,-0.018479513,0,irresponsible,0.025143402,0.040393436,0.008790358,0.024929312
8,18,1.192283115,0.035135928,0.00579735,0.024970071,-0.032222915,0,irresponsible,0.029338578,0.05446808,0.00425856,0.028424943
9,18,1.247296691,0.043353745,0.00589497,0.028646806,-0.028045921,0,irresponsible,0.037458775,0.048910556,-0.005830272,0.034155103
10,18,1.290104226,0.0423117,0.015968527,0.031379785,-0.023887253,0,irresponsible,0.026343173,0.042807535,-0.006103021,0.039139901
1,19,0.9656,0.01,0.022868013,0.01,-0.012939889,0,irresponsible,-0.012868013,0.011420864,0.003514462,0.009656
2,19,0.977020864,0.012374743,0.01930087,0.010474949,-0.019781801,0,irresponsible,-0.006926127,0.014935326,0.012820489,0.01011461
3,19,0.995470652,0.003325162,0.025653591,0.009044991,-0.034270868,0,irresponsible,-0.022328429,0.037061842,0.013737462,0.008837145
4,19,1.051144548,0.008013693,0.01718371,0.008838732,-0.06384074,0,irresponsible,-0.009170017,0.042410249,-0.006040333,0.008798698
5,19,1.08029115,0.01350725,0.01350616,0.009772435,-0.033018985,0,irresponsible,1.09E-06,0.024981176,-0.010422753,0.010272242
6,19,1.1011069,0.019174203,0.017871955,0.011652789,-0.027416296,0,irresponsible,0.001302248,0.021564744,0.00424004,0.012588405
7,19,1.123420637,0.025639378,0.01885545,0.014450107,-0.027074721,0,irresponsible,0.006783928,0.033461256,0.003990567,0.015911112
8,19,1.168029412,0.032463218,0.018856006,0.018052729,-0.045494492,0,irresponsible,0.013607211,0.029545877,-0.001792627,0.020280808
9,19,1.182512391,0.038433579,0.019496822,0.022128899,-0.01146743,0,irresponsible,0.018936757,0.029876001,0.007861573,0.025847205
10,19,1.227781414,0.045667538,0.010935325,0.026836627,-0.026668935,0,irresponsible,0.034732213,0.045269023,0.015393022,0.031734644
1,20,0.9656,0.01,0.02377583,0.01,-0.039286442,0,irresponsible,-0.01377583,0.048800395,-0.007933215,0.009656
2,20,1.014400395,0.016687468,0.022505211,0.011337494,-0.059346598,0,irresponsible,-0.005817743,0.040867181,-0.011115558,0.010947484
3,20,1.047334361,0.02004226,0.014485034,0.013078447,-0.034340436,0,irresponsible,0.005557225,0.02656928,-0.008729129,0.013266782
4,20,1.067538955,0.02248708,0.012955494,0.014960173,-0.018131877,0,irresponsible,0.009531586,0.023408922,0.002506943,0.015668304
